Aircraft ,MTOW_in_KGs,Aircraft_Type
VTTVG,77000,A319
VTTVH,77000,A319
VTTVI,77000,A319
VTTVJ,77000,A319
VTTYA,77000,A319
VTTYB,77000,A319
VTTYC,77000,A319
VTTYD,77000,A319
VTTYE,77000,A319
VTTYF,77000,A319
VTTYG,77000,A319
VTSCK,NULL,NULL
